A(32, 51),  B(23, 14), C(69, 54),  P(51, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(52, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(53, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(54, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(55, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(56, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(57, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(58, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(59, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(60, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(61, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(62, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(63, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(64, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(65, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(66, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(67, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(68, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(69, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(0, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(1, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(2, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(3, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(4, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(5, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(6, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(7, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(8, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(9, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(10, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(11, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(12, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(13, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(14, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(15, 3) = Ponto fora do triangulo
